"filename", "language", "JavaScript JSX", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "JSON with Comments", "JSON", "HTML", "Markdown", "XML", "comment", "blank", "total"
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/Footer.jsx", "JavaScript JSX", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 76
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/Form.jsx", "JavaScript JSX", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 83
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/Hero.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/LoyaltyCard.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/LoyaltyHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/Navbar.jsx", "JavaScript JSX", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 83
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/OrderDetailCard.jsx", "JavaScript JSX", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 79
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/OrderHistory.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/OrdersCard.jsx", "JavaScript JSX", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 61
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/OrdersDetailHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/OrdersHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/Pagination.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/PopularToday.jsx", "JavaScript JSX", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/Privacy.jsx", "JavaScript JSX", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/PrivacyHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/ProductCard.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/ProductDealCards.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/Products.jsx", "JavaScript JSX", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/ProfileCard.jsx", "JavaScript JSX", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 84
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/ProfileHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/ProfileMenu.jsx", "JavaScript JSX", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 58
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/ShopCard.jsx", "JavaScript JSX", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/ShopHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/ShopProducts.jsx", "JavaScript JSX", 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 284
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/ShoppingCart.jsx", "JavaScript JSX", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 109
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/ShoppingCartItem.jsx", "JavaScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/SubHero.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/TermsConditions.jsx", "JavaScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/TermsHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/VerticalMenu.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/WishlistHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/WishlistProducts.jsx", "JavaScript JSX", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 77
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/globals/button.tsx", "TypeScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 7, 70
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/globals/inputError.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/globals/inputField.tsx", "TypeScript JSX", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 1, 7, 145
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/globals/modal/DynamicModal.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 5, 49
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/globals/modal/modal.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 3, 50
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/globals/svgsIcons/svgIcons.tsx", "TypeScript JSX", 0, 0, 0, 1129, 0, 0, 0, 0, 0, 0, 0, 7, 1136
